# Revision 1.41,,,,,,,,,,,,,
# 8-Apr-2015,,,,,,,,,,,,,
# Revision 1.43,Added 32QFN,,,,,,,,,,,,
# 21-Oct-2020,,,,,,,,,,,,,
# Revision 1.44,Added WLCSP36,,,,,,,,,,,,
# 16-Nov-2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,I/O Grouping,TQFP144,CSBGA132,TQFP100,WLCSP25,QFN32,WLCSP36
171,NC,-,-,-,-,-,-,-,-,-,-,-,-
172,PT9D,0,-,Comp_OF_PT9C,-,-,-,140,-,-,-,-,-
173,PT9C,0,-,True_OF_PT9D,-,-,-,141,-,-,-,-,-
174,PT9B,0,-,Comp_OF_PT9A,TRUE,-,-,142,B3,98,-,-,B5
175,PT9A,0,-,True_OF_PT9B,TRUE,-,-,143,A2,99,-,-,A6
176,VCC,-,-,-,-,-,-,144,A1,100,B5,2,D5
0,NC,3,-,-,-,-,-,15,-,-,-,-,-
0,NC,3,-,-,-,-,-,17,-,-,-,-,-
0,NC,3,-,-,-,-,-,31,-,-,-,-,-
0,NC,2,-,-,-,-,-,63,-,-,-,-,-
0,NC,1,-,-,-,-,-,87,-,-,-,-,-
0,NC,1,-,-,-,-,-,89,-,-,-,-,-
0,NC,1,-,-,-,-,-,103,-,-,-,-,-
0,NC,-,-,-,-,-,-,129,C7,89,-,-,-
0,GND,-,-,-,-,-,-,89,-,-,-,3,C5
0,GND,-,-,-,-,-,-,89,-,-,-,22,D1
